phase	kind	file	line	target(old)	change	text	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p003.md	150	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for checked xHCI quiesce and	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p004.md	123	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for reset completion and EP0	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p005.md	114	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for an optional checked device	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p007.md	74	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	public lifetime contract is recorded in `include/drivers/dma.h`.	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p010.md	145	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	- `include/drivers/usb-storage-bot.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p010.md	146	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	- `include/drivers/usb-storage-scsi.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws004-p031.md	66	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` already defines concurrent ownership as one active	exempt
p002	plan-records	plan/tmp/github-import/review/ws004-p031.md	414	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/review/ws004-p031.md	414	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/review/ws004-p032.md	56	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` declares `drv_usb_device_reset()`, while	exempt
p002	plan-records	plan/tmp/github-import/review/ws004-p032.md	84	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	Add the following class-driver operation to `include/drivers/usb.h`:	exempt
p002	plan-records	plan/tmp/github-import/review/ws018-p002.md	127	include/drivers/disklabel.h	stale: path -> include/drivers/disklabel/disklabel.h	`include/drivers/disklabel.h`; the generic registry and scan policy remain	exempt
p002	plan-records	plan/tmp/github-import/review/ws018-p008.md	50	include/drivers/hid/	stale: path -> 	include/drivers/hid/ps2-mouse.h	exempt
p002	plan-records	plan/tmp/github-import/review/ws018-p008.md	51	include/drivers/hid/pc98-busmouse.h	stale: path -> include/drivers/platform/pc98/pc98-busmouse.h	include/drivers/hid/pc98-busmouse.h	exempt
p002	plan-records	plan/tmp/github-import/review/ws018-p008.md	195	include/drivers/hid/	stale: path -> 	`src/drivers/hid/` and `include/drivers/hid/` paths.  Each driver owns its	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p004.md	23	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p009.md	19	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p024.md	26	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p024.md	28	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p029.md	75	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/review/ws025-p029.md	111	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	対象: src/drivers/usb/（新UAS owner）、include/drivers/usb.h、src/drivers/pci/pci-xhci.c、src/kern/disk.c。	exempt
p002	plan-records	plan/tmp/github-import/ws003-p003-published.md	156	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	- `drivers/pci.c` and `include/drivers/pci.h`, if balanced command-state or BAR	exempt
p002	plan-records	plan/tmp/github-import/ws003-p003-published.md	158	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for checked xHCI quiesce and	exempt
p002	plan-records	plan/tmp/github-import/ws003-p003.md	156	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	- `drivers/pci.c` and `include/drivers/pci.h`, if balanced command-state or BAR	exempt
p002	plan-records	plan/tmp/github-import/ws003-p003.md	158	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for checked xHCI quiesce and	exempt
p002	plan-records	plan/tmp/github-import/ws003-p004-published.md	131	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for reset completion and EP0	exempt
p002	plan-records	plan/tmp/github-import/ws003-p004.md	131	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for reset completion and EP0	exempt
p002	plan-records	plan/tmp/github-import/ws003-p005-published.md	122	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for an optional checked device	exempt
p002	plan-records	plan/tmp/github-import/ws003-p005.md	122	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for an optional checked device	exempt
p002	plan-records	plan/tmp/github-import/ws003-p007-published.md	82	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	public lifetime contract is recorded in `include/drivers/dma.h`.	exempt
p002	plan-records	plan/tmp/github-import/ws003-p007.md	82	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	public lifetime contract is recorded in `include/drivers/dma.h`.	exempt
p002	plan-records	plan/tmp/github-import/ws003-p010-published.md	153	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	- `include/drivers/usb-storage-bot.h`	exempt
p002	plan-records	plan/tmp/github-import/ws003-p010-published.md	154	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	- `include/drivers/usb-storage-scsi.h`	exempt
p002	plan-records	plan/tmp/github-import/ws003-p010.md	153	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	- `include/drivers/usb-storage-bot.h`	exempt
p002	plan-records	plan/tmp/github-import/ws003-p010.md	154	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	- `include/drivers/usb-storage-scsi.h`	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031-published.md	74	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` already defines concurrent ownership as one active	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031-published.md	422	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031-published.md	422	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031.md	74	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` already defines concurrent ownership as one active	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031.md	422	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/ws004-p031.md	422	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	include/drivers/pci.h include/drivers/usb.h \	exempt
p002	plan-records	plan/tmp/github-import/ws004-p032-published.md	64	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` declares `drv_usb_device_reset()`, while	exempt
p002	plan-records	plan/tmp/github-import/ws004-p032-published.md	92	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	Add the following class-driver operation to `include/drivers/usb.h`:	exempt
p002	plan-records	plan/tmp/github-import/ws004-p032.md	64	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h` declares `drv_usb_device_reset()`, while	exempt
p002	plan-records	plan/tmp/github-import/ws004-p032.md	92	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	Add the following class-driver operation to `include/drivers/usb.h`:	exempt
p002	plan-records	plan/tmp/github-import/ws018-p002-published.md	135	include/drivers/disklabel.h	stale: path -> include/drivers/disklabel/disklabel.h	`include/drivers/disklabel.h`; the generic registry and scan policy remain	exempt
p002	plan-records	plan/tmp/github-import/ws018-p002.md	135	include/drivers/disklabel.h	stale: path -> include/drivers/disklabel/disklabel.h	`include/drivers/disklabel.h`; the generic registry and scan policy remain	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008-published.md	58	include/drivers/hid/	stale: path -> 	include/drivers/hid/ps2-mouse.h	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008-published.md	59	include/drivers/hid/pc98-busmouse.h	stale: path -> include/drivers/platform/pc98/pc98-busmouse.h	include/drivers/hid/pc98-busmouse.h	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008-published.md	203	include/drivers/hid/	stale: path -> 	`src/drivers/hid/` and `include/drivers/hid/` paths.  Each driver owns its	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008.md	58	include/drivers/hid/	stale: path -> 	include/drivers/hid/ps2-mouse.h	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008.md	59	include/drivers/hid/pc98-busmouse.h	stale: path -> include/drivers/platform/pc98/pc98-busmouse.h	include/drivers/hid/pc98-busmouse.h	exempt
p002	plan-records	plan/tmp/github-import/ws018-p008.md	203	include/drivers/hid/	stale: path -> 	`src/drivers/hid/` and `include/drivers/hid/` paths.  Each driver owns its	exempt
p002	plan-records	plan/tmp/github-import/ws025-p004-published.md	31	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p004.md	31	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p009-published.md	27	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p009.md	27	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p024-published.md	34	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p024-published.md	36	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p024.md	34	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	- `include/drivers/dma.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p024.md	36	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p029-published.md	83	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p029-published.md	119	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	対象: src/drivers/usb/（新UAS owner）、include/drivers/usb.h、src/drivers/pci/pci-xhci.c、src/kern/disk.c。	exempt
p002	plan-records	plan/tmp/github-import/ws025-p029.md	83	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `include/drivers/usb.h`	exempt
p002	plan-records	plan/tmp/github-import/ws025-p029.md	119	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	対象: src/drivers/usb/（新UAS owner）、include/drivers/usb.h、src/drivers/pci/pci-xhci.c、src/kern/disk.c。	exempt
p002	plan-records	plan/tmp/project-deploy/issues-first.json	1	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	{"data":{"repository":{"issues":{"nodes":[{"id":"I_kwDOT3uw488AAAABQp0_AQ","number":1,"body":"<!-- awesome-plan project=zedbsd record=master -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/master.md`\n\n	exempt
p002	plan-records	plan/tmp/project-deploy/issues-first.json	1	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	{"data":{"repository":{"issues":{"nodes":[{"id":"I_kwDOT3uw488AAAABQp0_AQ","number":1,"body":"<!-- awesome-plan project=zedbsd record=master -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/master.md`\n\n	exempt
p002	plan-records	plan/tmp/project-deploy/issues-first.json	1	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	{"data":{"repository":{"issues":{"nodes":[{"id":"I_kwDOT3uw488AAAABQp0_AQ","number":1,"body":"<!-- awesome-plan project=zedbsd record=master -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/master.md`\n\n	exempt
p002	plan-records	plan/tmp/project-deploy/issues-first.json	1	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	{"data":{"repository":{"issues":{"nodes":[{"id":"I_kwDOT3uw488AAAABQp0_AQ","number":1,"body":"<!-- awesome-plan project=zedbsd record=master -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/master.md`\n\n	exempt
p002	plan-records	plan/tmp/project-deploy/issues-first.json	1	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	{"data":{"repository":{"issues":{"nodes":[{"id":"I_kwDOT3uw488AAAABQp0_AQ","number":1,"body":"<!-- awesome-plan project=zedbsd record=master -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/master.md`\n\n	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	345	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p003 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase003/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	345	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p003 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase003/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	350	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p004 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase004/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	355	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p005 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase005/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	365	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p007 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase007/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	380	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p010 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase010/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	380	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	"body": "<!-- awesome-plan project=zedbsd record=ws003-p010 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws003/phase010/phase.md`\n\n親: [ws003](https://github.com/awemorris/zedBSD/issues/4)\n\n# WS003	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	610	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws004-p031 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws004/phase031/phase.md`\n\n親: [ws004](https://github.com/awemorris/zedBSD/issues/5)\n\n# WS004	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	610	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	"body": "<!-- awesome-plan project=zedbsd record=ws004-p031 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws004/phase031/phase.md`\n\n親: [ws004](https://github.com/awemorris/zedBSD/issues/5)\n\n# WS004	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	615	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws004-p032 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws004/phase032/phase.md`\n\n親: [ws004](https://github.com/awemorris/zedBSD/issues/5)\n\n# WS004	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1120	include/drivers/disklabel.h	stale: path -> include/drivers/disklabel/disklabel.h	"body": "<!-- awesome-plan project=zedbsd record=ws018-p002 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws018/phase002/phase.md`\n\n親: [ws018](https://github.com/awemorris/zedBSD/issues/19)\n\n# WS01	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1150	include/drivers/hid/	stale: path -> 	"body": "<!-- awesome-plan project=zedbsd record=ws018-p008 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws018/phase008/phase.md`\n\n親: [ws018](https://github.com/awemorris/zedBSD/issues/19)\n\n# WS01	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1635	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	"body": "<!-- awesome-plan project=zedbsd record=ws025-p004 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws025/phase004/phase.md`\n\n親: [ws025](https://github.com/awemorris/zedBSD/issues/26)\n\n# ws02	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1660	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws025-p009 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws025/phase009/phase.md`\n\n親: [ws025](https://github.com/awemorris/zedBSD/issues/26)\n\n# ws02	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1735	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	"body": "<!-- awesome-plan project=zedbsd record=ws025-p024 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws025/phase024/phase.md`\n\n親: [ws025](https://github.com/awemorris/zedBSD/issues/26)\n\n# ws02	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1735	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws025-p024 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws025/phase024/phase.md`\n\n親: [ws025](https://github.com/awemorris/zedBSD/issues/26)\n\n# ws02	exempt
p002	plan-records	plan/tmp/project-deploy/issues.json	1760	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	"body": "<!-- awesome-plan project=zedbsd record=ws025-p029 -->\n\n既存計画の取り込み。本文はローカルの現行記録、リポジトリ資料へのリンクは基準コミットの履歴です。Issue作成・open状態は実行承認や未完了判定を意味しません。Awesome Planの状態同期導入前のため、実際の状態は本文を参照してください。\n\n元資料: `plan/ws025/phase029/phase.md`\n\n親: [ws025](https://github.com/awemorris/zedBSD/issues/26)\n\n# ws02	exempt
p002	plan-records	plan/ws003/phase003/phase.md	164	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	- `drivers/pci.c` and `include/drivers/pci.h`, if balanced command-state or BAR	exempt
p002	plan-records	plan/ws003/phase003/phase.md	166	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for checked xHCI quiesce and	exempt
p002	plan-records	plan/ws003/phase004/phase.md	139	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for reset completion and EP0	exempt
p002	plan-records	plan/ws003/phase005/phase.md	130	include/drivers/usb.h	stale: path -> include/drivers/usb/usb.h	- `drivers/usb.c` and `include/drivers/usb.h` for an optional checked device	exempt
p002	plan-records	plan/ws003/phase007/phase.md	90	include/drivers/dma.h	stale: path -> include/drivers/generic/dma.h	public lifetime contract is recorded in `include/drivers/dma.h`.	exempt
p002	plan-records	plan/ws003/phase010/phase.md	161	include/drivers/usb-storage-bot.h	stale: path -> include/drivers/usb/usb-storage-bot.h	- `include/drivers/usb-storage-bot.h`	exempt
p002	plan-records	plan/ws003/phase010/phase.md	162	include/drivers/usb-storage-scsi.h	stale: path -> include/drivers/usb/usb-storage-scsi.h	- `include/drivers/usb-storage-scsi.h`	exempt
