path	structure	body-mechanical	semantic-review
userland/base/libc/signal.c	pass	pass	uncleared
userland/base/libc/socket.c	pass	uncleared	uncleared
userland/base/libc/static-tls.c	pass	pass	uncleared
userland/base/libc/syscall.h	pass	not-applicable	not-applicable
userland/base/libc/termios.c	pass	uncleared	uncleared
userland/base/libc/timer.c	pass	pass	uncleared
userland/base/libc/utmpx.c	pass	pass	uncleared
userland/base/libedit/readline/history.h	pass	not-applicable	not-applicable
userland/base/libedit/readline/readline.h	pass	not-applicable	not-applicable
userland/base/libedit/readline.c	pass	uncleared	uncleared
userland/base/link/main.c	pass	pass	uncleared
userland/base/ln/main.c	pass	pass	uncleared
userland/base/locale/main.c	pass	uncleared	uncleared
userland/base/localedef/main.c	pass	uncleared	uncleared
userland/base/logger/main.c	pass	uncleared	uncleared
userland/base/login/main.c	pass	pass	uncleared
userland/base/logname/main.c	pass	pass	uncleared
userland/base/lp/lpd-client.c	pass	pass	uncleared
userland/base/lp/lpd-client.h	pass	not-applicable	not-applicable
userland/base/lp/main.c	pass	uncleared	uncleared
userland/base/ls/main.c	pass	uncleared	uncleared
userland/base/m4/engine.c	pass	uncleared	uncleared
userland/base/m4/m4.h	pass	not-applicable	not-applicable
userland/base/m4/main.c	pass	uncleared	uncleared
userland/base/mesg/main.c	pass	pass	uncleared
userland/base/mkdir/main.c	pass	pass	uncleared
userland/base/mkfifo/main.c	pass	pass	uncleared
userland/base/more/main.c	pass	pass	uncleared
userland/base/mount/main.c	pass	pass	uncleared
userland/base/msgfmt/main.c	pass	uncleared	uncleared
userland/base/mv/main.c	pass	uncleared	uncleared
userland/base/net/dhcp.c	pass	uncleared	uncleared
userland/base/net/dhcp.h	pass	not-applicable	not-applicable
userland/base/net/main.c	pass	uncleared	uncleared
userland/base/net/netconf.c	pass	uncleared	uncleared
userland/base/net/netconf.h	pass	not-applicable	not-applicable
userland/base/net/netutil.c	pass	pass	uncleared
userland/base/net/netutil.h	pass	not-applicable	not-applicable
userland/base/net/protocol.h	pass	not-applicable	not-applicable
userland/base/nettest/main.c	pass	uncleared	uncleared
userland/base/networkd/main.c	pass	uncleared	uncleared
userland/base/newgrp/main.c	pass	pass	uncleared
userland/base/nice/main.c	pass	pass	uncleared
userland/base/nl/main.c	pass	uncleared	uncleared
userland/base/nm/main.c	pass	uncleared	uncleared
userland/base/nohup/main.c	pass	pass	uncleared
userland/base/nslookup/main.c	pass	pass	uncleared
userland/base/ntpdate/main.c	pass	uncleared	uncleared
userland/base/od/main.c	pass	uncleared	uncleared
userland/base/paste/main.c	pass	uncleared	uncleared
userland/base/patch/main.c	pass	pass	uncleared
userland/base/pathchk/main.c	pass	uncleared	uncleared
userland/base/pax/main.c	pass	uncleared	uncleared
userland/base/ping/main.c	pass	uncleared	uncleared
userland/base/pr/main.c	pass	uncleared	uncleared
userland/base/ps/main.c	pass	uncleared	uncleared
userland/base/readlink/main.c	pass	pass	uncleared
userland/base/realpath/main.c	pass	pass	uncleared
userland/base/renice/main.c	pass	pass	uncleared
userland/base/rm/main.c	pass	pass	uncleared
userland/base/rmdir/main.c	pass	uncleared	uncleared
userland/base/route/main.c	pass	uncleared	uncleared
userland/base/rtld/elf.h	pass	not-applicable	not-applicable
userland/base/rtld/rtld.c	pass	uncleared	uncleared
userland/base/rtld/rtld.h	pass	not-applicable	not-applicable
userland/base/rtld/string.c	pass	pass	uncleared
userland/base/sccs/main.c	pass	uncleared	uncleared
userland/base/sed/main.c	pass	uncleared	uncleared
userland/base/service/main.c	pass	pass	uncleared
userland/base/service/rcconf.c	pass	uncleared	uncleared
userland/base/service/rcconf.h	pass	not-applicable	not-applicable
userland/base/service/service-command.c	pass	uncleared	uncleared
userland/base/service/service-command.h	pass	not-applicable	not-applicable
userland/base/service/service-config.c	pass	uncleared	uncleared
userland/base/service/service-config.h	pass	not-applicable	not-applicable
userland/base/service/service-console.c	pass	pass	uncleared
userland/base/service/service-console.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-client.c	pass	pass	uncleared
userland/base/service/zsv1-client.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-protocol.c	pass	uncleared	uncleared
userland/base/service/zsv1-protocol.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-server.c	pass	uncleared	uncleared
userland/base/service/zsv1-server.h	pass	not-applicable	not-applicable
userland/base/sh/alias.c	pass	uncleared	uncleared
userland/base/sh/alias.h	pass	not-applicable	not-applicable
userland/base/sh/arithmetic.c	pass	pass	uncleared
userland/base/sh/arithmetic.h	pass	not-applicable	not-applicable
userland/base/sh/builtins.c	pass	uncleared	uncleared
userland/base/sh/builtins.h	pass	not-applicable	not-applicable
userland/base/sh/expand.c	pass	uncleared	uncleared
userland/base/sh/expand.h	pass	not-applicable	not-applicable
userland/base/sh/glob.c	pass	uncleared	uncleared
userland/base/sh/glob.h	pass	not-applicable	not-applicable
userland/base/sh/lexer.c	pass	uncleared	uncleared
userland/base/sh/lexer.h	pass	not-applicable	not-applicable
userland/base/sh/main.c	pass	uncleared	uncleared
userland/base/sh/vars.c	pass	pass	uncleared
userland/base/sh/vars.h	pass	not-applicable	not-applicable
userland/base/shutdown-control/main.c	pass	pass	uncleared
userland/base/sleep/main.c	pass	pass	uncleared
userland/base/sort/main.c	pass	uncleared	uncleared
userland/base/split/main.c	pass	pass	uncleared
userland/base/stat/main.c	pass	pass	uncleared
userland/base/strings/main.c	pass	uncleared	uncleared
userland/base/stty/main.c	pass	uncleared	uncleared
userland/base/swap-control/swap-command.h	pass	not-applicable	not-applicable
userland/base/swapoff/main.c	pass	pass	uncleared
userland/base/swapon/main.c	pass	pass	uncleared
userland/base/sysctl/main.c	pass	pass	uncleared
userland/base/syslogd/main.c	pass	pass	uncleared
userland/base/tabs/main.c	pass	uncleared	uncleared
userland/base/tail/main.c	pass	uncleared	uncleared
userland/base/tee/main.c	pass	pass	uncleared
userland/base/tests/dyntest.c	pass	uncleared	uncleared
userland/base/tests/posix-phase5-helper.c	pass	pass	uncleared
userland/base/tests/posix-r2-remaining.c	pass	uncleared	uncleared
userland/base/tests/posix-r2.c	pass	uncleared	uncleared
userland/base/tests/rpathdep.c	pass	pass	uncleared
userland/base/tests/rpathtest.c	pass	pass	uncleared
userland/base/tests/smp-resource-stress.c	pass	uncleared	uncleared
userland/base/tests/susv4-xsi.c	pass	uncleared	uncleared
userland/base/tests/syscall-smoke.c	pass	uncleared	uncleared
userland/base/tests/tlstest.c	pass	pass	uncleared
userland/base/tests/versiontest.c	pass	pass	uncleared
userland/base/tests/versionuse.c	pass	pass	uncleared
userland/base/tic/main.c	pass	uncleared	uncleared
userland/base/time/main.c	pass	pass	uncleared
userland/base/timeout/main.c	pass	uncleared	uncleared
userland/base/top/main.c	pass	uncleared	uncleared
userland/base/touch/main.c	pass	uncleared	uncleared
userland/base/tput/main.c	pass	uncleared	uncleared
userland/base/tr/main.c	pass	uncleared	uncleared
userland/base/truncate/main.c	pass	pass	uncleared
userland/base/tsort/main.c	pass	uncleared	uncleared
userland/base/tty/main.c	pass	pass	uncleared
userland/base/uname/main.c	pass	uncleared	uncleared
userland/base/unexpand/main.c	pass	uncleared	uncleared
userland/base/uniq/main.c	pass	pass	uncleared
userland/base/unlink/main.c	pass	pass	uncleared
userland/base/uudecode/main.c	pass	pass	uncleared
userland/base/uuencode/main.c	pass	pass	uncleared
userland/base/wc/main.c	pass	uncleared	uncleared
userland/base/who/main.c	pass	pass	uncleared
userland/base/write/main.c	pass	uncleared	uncleared
userland/base/xargs/main.c	pass	pass	uncleared
userland/packages/lang/noct/runtime/env.c	pass	uncleared	uncleared
userland/packages/lang/noct/runtime/main.c	pass	uncleared	uncleared
userland/packages/lang/noct/runtime/memory.c	pass	pass	uncleared
userland/packages/lang/noct/runtime/memory.h	pass	not-applicable	not-applicable
userland/packages/lang/noct/runtime/napi.c	pass	uncleared	uncleared
userland/packages/lang/noct/runtime/platform.c	pass	uncleared	uncleared
userland/packages/lang/noct/runtime/target.c	pass	uncleared	uncleared
userland/packages/lang/noct/runtime/zedbsd-api.h	pass	not-applicable	not-applicable
