path	structure	body-mechanical	semantic-review
userland/base/nettest/main.c	pass	pass	pass
userland/base/networkd/main.c	pass	pass	pass
userland/base/newgrp/main.c	pass	pass	pass
userland/base/nice/main.c	pass	pass	pass
userland/base/nl/main.c	pass	pass	pass
userland/base/nm/main.c	pass	pass	pass
userland/base/nohup/main.c	pass	pass	pass
userland/base/nslookup/main.c	pass	pass	pass
userland/base/ntpdate/main.c	pass	pass	pass
userland/base/od/main.c	pass	pass	pass
userland/base/paste/main.c	pass	pass	pass
userland/base/patch/main.c	pass	pass	pass
userland/base/pathchk/main.c	pass	pass	pass
userland/base/pax/main.c	pass	pass	pass
userland/base/ping/main.c	pass	pass	pass
userland/base/pr/main.c	pass	pass	pass
userland/base/ps/main.c	pass	pass	pass
userland/base/readlink/main.c	pass	pass	pass
userland/base/realpath/main.c	pass	pass	pass
userland/base/renice/main.c	pass	pass	pass
userland/base/rm/main.c	pass	pass	pass
userland/base/rmdir/main.c	pass	pass	pass
userland/base/route/main.c	pass	pass	pass
userland/base/rtld/elf.h	pass	not-applicable	not-applicable
userland/base/rtld/rtld.c	pass	pass	pass
userland/base/rtld/rtld.h	pass	not-applicable	not-applicable
userland/base/rtld/string.c	pass	pass	pass
userland/base/sccs/main.c	pass	pass	pass
userland/base/sed/main.c	pass	pass	pass
userland/base/service/main.c	pass	pass	pass
userland/base/service/rcconf.c	pass	pass	pass
userland/base/service/rcconf.h	pass	not-applicable	not-applicable
userland/base/service/service-command.c	pass	pass	pass
userland/base/service/service-command.h	pass	not-applicable	not-applicable
userland/base/service/service-config.c	pass	pass	pass
userland/base/service/service-config.h	pass	not-applicable	not-applicable
userland/base/service/service-console.c	pass	pass	pass
userland/base/service/service-console.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-client.c	pass	pass	pass
userland/base/service/zsv1-client.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-protocol.c	pass	pass	pass
userland/base/service/zsv1-protocol.h	pass	not-applicable	not-applicable
userland/base/service/zsv1-server.c	pass	pass	pass
userland/base/service/zsv1-server.h	pass	not-applicable	not-applicable
userland/base/sh/alias.c	pass	pass	pass
userland/base/sh/alias.h	pass	not-applicable	not-applicable
userland/base/sh/arithmetic.c	pass	pass	pass
userland/base/sh/arithmetic.h	pass	not-applicable	not-applicable
userland/base/sh/builtins.c	pass	pass	pass
userland/base/sh/builtins.h	pass	not-applicable	not-applicable
userland/base/sh/expand.c	pass	pass	pass
userland/base/sh/expand.h	pass	not-applicable	not-applicable
userland/base/sh/glob.c	pass	pass	pass
userland/base/sh/glob.h	pass	not-applicable	not-applicable
userland/base/sh/lexer.c	pass	pass	pass
userland/base/sh/lexer.h	pass	not-applicable	not-applicable
userland/base/sh/main.c	pass	pass	pass
userland/base/sh/vars.c	pass	pass	pass
userland/base/sh/vars.h	pass	not-applicable	not-applicable
userland/base/shutdown-control/main.c	pass	pass	pass
userland/base/sleep/main.c	pass	pass	pass
userland/base/sort/main.c	pass	pass	pass
userland/base/split/main.c	pass	pass	pass
userland/base/stat/main.c	pass	pass	pass
userland/base/strings/main.c	pass	pass	pass
userland/base/stty/main.c	pass	pass	pass
userland/base/swap-control/swap-command.h	pass	not-applicable	not-applicable
userland/base/swapoff/main.c	pass	pass	pass
userland/base/swapon/main.c	pass	pass	pass
userland/base/sysctl/main.c	pass	pass	pass
userland/base/syslogd/main.c	pass	pass	pass
userland/base/tabs/main.c	pass	pass	pass
userland/base/tail/main.c	pass	pass	pass
userland/base/tee/main.c	pass	pass	pass
userland/base/tests/dyntest.c	pass	pass	pass
userland/base/tests/posix-phase5-helper.c	pass	pass	pass
userland/base/tests/posix-r2-remaining.c	pass	pass	pass
userland/base/tests/posix-r2.c	pass	pass	pass
userland/base/tests/rpathdep.c	pass	pass	pass
userland/base/tests/rpathtest.c	pass	pass	pass
userland/base/tests/smp-resource-stress.c	pass	pass	pass
userland/base/tests/susv4-xsi.c	pass	pass	pass
userland/base/tests/syscall-smoke.c	pass	pass	pass
userland/base/tests/tlstest.c	pass	pass	pass
userland/base/tests/versiontest.c	pass	pass	pass
userland/base/tests/versionuse.c	pass	pass	pass
userland/base/tic/main.c	pass	pass	pass
userland/base/time/main.c	pass	pass	pass
userland/base/timeout/main.c	pass	pass	pass
userland/base/top/main.c	pass	pass	pass
userland/base/touch/main.c	pass	pass	pass
userland/base/tput/main.c	pass	pass	pass
userland/base/tr/main.c	pass	pass	pass
userland/base/truncate/main.c	pass	pass	pass
userland/base/tsort/main.c	pass	pass	pass
userland/base/tty/main.c	pass	pass	pass
userland/base/uname/main.c	pass	pass	pass
userland/base/unexpand/main.c	pass	pass	pass
userland/base/uniq/main.c	pass	pass	pass
userland/base/unlink/main.c	pass	pass	pass
userland/base/uudecode/main.c	pass	pass	pass
userland/base/uuencode/main.c	pass	pass	pass
userland/base/wc/main.c	pass	pass	pass
userland/base/who/main.c	pass	pass	pass
userland/base/write/main.c	pass	pass	pass
userland/base/xargs/main.c	pass	pass	pass
userland/packages/lang/noct/runtime/env.c	pass	pass	pass
userland/packages/lang/noct/runtime/main.c	pass	pass	pass
userland/packages/lang/noct/runtime/memory.c	pass	pass	pass
userland/packages/lang/noct/runtime/memory.h	pass	not-applicable	not-applicable
userland/packages/lang/noct/runtime/napi.c	pass	pass	pass
userland/packages/lang/noct/runtime/platform.c	pass	pass	pass
userland/packages/lang/noct/runtime/target.c	pass	pass	pass
userland/packages/lang/noct/runtime/zedbsd-api.h	pass	not-applicable	not-applicable
