order,category,header,symbol,kind,requirement,option_codes,implementation_status,header_evidence,libc_source,syscall,kernel_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
29,filesystem,<sys/stat.h>,utimensat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/utimensat.html
30,io-memory,<aio.h>,aio_cancel,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_cancel.html
31,io-memory,<aio.h>,aio_error,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_error.html
32,io-memory,<aio.h>,aio_read,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_read.html
33,io-memory,<aio.h>,aio_return,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_return.html
34,io-memory,<aio.h>,aio_suspend,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,,,reviewed,A timeout with no completed request returned immediately instead of waiting.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_suspend.html
35,io-memory,<aio.h>,aio_write,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/aio_write.html
36,io-memory,<aio.h>,lio_listio,function,required,,implemented,libc/include/aio.h,userland/base/libc/posix.c,,,,,reviewed,List submission incorrectly emitted each aiocb notification as well as the list notification.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/lio_listio.html
37,io-memory,<sys/mman.h>,mmap,function,required,,implemented,libc/include/sys/mman.h,userland/base/libc/mqueue.c|userland/base/libc/static-tls.c|userland/base/libc/posix.c|userland/base/libc/pthread.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mmap.html
38,io-memory,<sys/mman.h>,mprotect,function,required,,implemented,libc/include/sys/mman.h,userland/base/libc/posix.c|userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mprotect.html
39,io-memory,<sys/mman.h>,munmap,function,required,,implemented,libc/include/sys/mman.h,userland/base/libc/mqueue.c|userland/base/libc/static-tls.c|userland/base/libc/posix.c|userland/base/libc/pthread.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/munmap.html
40,multiplexing,<sys/select.h>,FD_CLR,function,required,,implemented,libc/include/sys/select.h,,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/FD_CLR.html
41,multiplexing,<sys/select.h>,FD_ISSET,function,required,,implemented,libc/include/sys/select.h,,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/FD_ISSET.html
42,multiplexing,<sys/select.h>,FD_SET,function,required,,implemented,libc/include/sys/select.h,,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/FD_SET.html
43,multiplexing,<sys/select.h>,FD_ZERO,function,required,,implemented,libc/include/sys/select.h,,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/FD_ZERO.html
44,multiplexing,<poll.h>,poll,function,required,,implemented,libc/include/poll.h,userland/base/libc/poll.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/poll.html
45,multiplexing,<sys/select.h>,pselect,function,required,,implemented,libc/include/sys/select.h,userland/base/libc/poll.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pselect.html
46,multiplexing,<sys/select.h>,select,function,required,,implemented,libc/include/sys/select.h,userland/base/libc/poll.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/select.html
47,process,<unistd.h>,access,function,required,,implemented,libc/include/unistd.h,libc/stdio.c|userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/access.html
48,process,<unistd.h>,alarm,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/alarm.html
49,process,<unistd.h>,chdir,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/chdir.html
50,process,<unistd.h>,chown,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/chown.html
51,process,<unistd.h>,close,function,required,,implemented,libc/include/unistd.h,userland/base/libc/mqueue.c|userland/base/libc/utmpx.c|userland/base/libc/termios.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/close.html
52,process,<unistd.h>,confstr,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/confstr.html
53,process,<unistd.h>,dup,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/dup.html
54,process,<unistd.h>,dup2,function,required,,implemented,libc/include/unistd.h,userland/base/libc/termios.c|userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/dup2.html
55,process,<unistd.h>,environ,data,required,,implemented,libc/include/unistd.h|libc/include/stdlib.h,,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/environ.html
56,process,<unistd.h>,execl,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execl.html
57,process,<unistd.h>,execle,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execle.html
58,process,<unistd.h>,execlp,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,ENOEXEC from a PATH candidate did not invoke the shell fallback required by exec*p semantics.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execlp.html
59,process,<unistd.h>,execv,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execv.html
60,process,<unistd.h>,execve,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execve.html
61,process,<unistd.h>,execvp,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,ENOEXEC from a PATH candidate did not invoke the shell fallback required by exec*p semantics.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/execvp.html
62,process,<unistd.h>,faccessat,function,required,,implemented,libc/include/unistd.h|libc/include/fcntl.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/faccessat.html
63,process,<unistd.h>,fchdir,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fchdir.html
64,process,<unistd.h>,fchown,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fchown.html
65,process,<unistd.h>,fchownat,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fchownat.html
66,process,<unistd.h>,fexecve,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,The initial descriptor execution path could dereference a pseudo-file with no inode.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fexecve.html
67,process,<unistd.h>,fork,function,required,,implemented,libc/include/unistd.h,userland/base/libc/termios.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fork.html
68,process,<unistd.h>,fpathconf,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fpathconf.html
69,process,<unistd.h>,ftruncate,function,required,,implemented,libc/include/unistd.h,userland/base/libc/mqueue.c|userland/base/libc/posix.c|userland/base/libc/semaphore.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/ftruncate.html
70,process,<unistd.h>,getcwd,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getcwd.html
71,process,<unistd.h>,getegid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getegid.html
72,process,<unistd.h>,geteuid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/geteuid.html
73,process,<unistd.h>,getgid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getgid.html
74,process,<unistd.h>,getgroups,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getgroups.html
75,process,<unistd.h>,gethostname,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/gethostname.html
76,process,<unistd.h>,getlogin,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getlogin.html
77,process,<unistd.h>,getlogin_r,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getlogin_r.html
78,process,<unistd.h>,getopt,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getopt.html
79,process,<unistd.h>,getpgid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getpgid.html
80,process,<unistd.h>,getpgrp,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getpgrp.html
81,process,<unistd.h>,getpid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/mqueue.c|userland/base/libc/posix.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getpid.html
82,process,<unistd.h>,getppid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getppid.html
83,process,<unistd.h>,getsid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getsid.html
84,process,<unistd.h>,getuid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getuid.html
85,process,<unistd.h>,isatty,function,required,,implemented,libc/include/unistd.h|include/uapi/zedbsd/console.h,libc/stdio.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/isatty.html
86,process,<signal.h>,kill,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/mqueue.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/kill.html
87,process,<unistd.h>,lchown,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/lchown.html
88,process,<unistd.h>,link,function,required,,implemented,libc/include/unistd.h|libc/include/zedbsd/rtld-abi.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/link.html
89,process,<unistd.h>,linkat,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/linkat.html
90,process,<unistd.h>,lseek,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/lseek.html
91,process,<unistd.h>,optarg,data,required,,implemented,libc/include/unistd.h,,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/optarg.html
92,process,<unistd.h>,opterr,data,required,,implemented,libc/include/unistd.h,,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/opterr.html
93,process,<unistd.h>,optind,data,required,,implemented,libc/include/unistd.h,,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/optind.html
94,process,<unistd.h>,optopt,data,required,,implemented,libc/include/unistd.h,,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/optopt.html
95,process,<unistd.h>,pathconf,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pathconf.html
96,process,<unistd.h>,pause,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pause.html
97,process,<unistd.h>,pipe,function,required,,implemented,libc/include/unistd.h|include/uapi/zedbsd/system.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pipe.html
98,process,<unistd.h>,pread,function,required,,implemented,libc/include/unistd.h,userland/base/libc/utmpx.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pread.html
99,process,<signal.h>,psiginfo,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/psiginfo.html
100,process,<signal.h>,psignal,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/psignal.html
101,process,<signal.h>,pthread_kill,function,required,CX,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_kill.html
102,process,<signal.h>,pthread_sigmask,function,required,CX,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_sigmask.html
103,process,<unistd.h>,pwrite,function,required,,implemented,libc/include/unistd.h,userland/base/libc/utmpx.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pwrite.html
104,process,<signal.h>,raise,function,required,,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/raise.html
105,process,<unistd.h>,read,function,required,,implemented,libc/include/unistd.h|libc/include/zedbsd/rtld-abi.h|include/uapi/zedbsd/console.h|include/uapi/zedbsd/mouse.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/read.html
106,process,<unistd.h>,readlink,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/readlink.html
107,process,<unistd.h>,readlinkat,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/readlinkat.html
108,process,<unistd.h>,rmdir,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/rmdir.html
109,process,<unistd.h>,setegid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setegid.html
110,process,<unistd.h>,seteuid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/seteuid.html
111,process,<unistd.h>,setgid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setgid.html
112,process,<unistd.h>,setpgid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setpgid.html
113,process,<unistd.h>,setsid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/termios.c|userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setsid.html
114,process,<unistd.h>,setuid,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setuid.html
115,process,<signal.h>,sigaction,function,required,CX,implemented,libc/include/signal.h|include/uapi/zedbsd/signal.h,userland/base/libc/posix.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigaction.html
116,process,<signal.h>,sigaddset,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigaddset.html
117,process,<signal.h>,sigdelset,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigdelset.html
118,process,<signal.h>,sigemptyset,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigemptyset.html
119,process,<signal.h>,sigfillset,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigfillset.html
120,process,<signal.h>,sigismember,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/posix.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigismember.html
121,process,<signal.h>,signal,function,required,,implemented,libc/include/pthread.h|libc/include/signal.h|libc/include/spawn.h|libc/include/poll.h,userland/base/libc/signal.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/signal.html
122,process,<signal.h>,sigpending,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigpending.html
